"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2025-10-22,"English (American)","WG","WG",394376,83509,8,"production",4,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394387,83520,8,"production",6,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394401,83534,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394404,83537,8,"production",5,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394413,83546,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394416,83549,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394428,83561,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394438,83571,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394446,83579,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394455,83588,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394461,83594,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394464,83597,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394472,83605,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394475,83608,8,"production",75,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394480,83613,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394483,83616,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394488,83621,8,"production",240,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394494,83627,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394498,83631,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394507,83640,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394518,83651,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394519,83652,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394535,83668,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394545,83678,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394559,83692,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394562,83695,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394563,83696,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394564,83697,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394574,83707,8,"production",0,3686,TRUE,TRUE,TRUE
